t,rms
0.966,0.0254614
0.969,0.0250574
0.972,0.0246573
0.975,0.0242613
0.978,0.0238701
0.981,0.023484
0.984,0.0231035
0.987,0.0227289
0.99,0.0223608
0.993,0.0219995
0.996,0.0216454
0.999,0.021299
1.002,0.0209605
1.005,0.0206304
1.008,0.020309
1.011,0.0199967
1.014,0.0196938
1.017,0.0194005
1.02,0.0191173
1.023,0.0188444
1.026,0.018582
1.029,0.0183305
1.032,0.01809
1.035,0.0178609
1.038,0.0176432
1.041,0.0174374
1.044,0.0172434
1.047,0.0170616
1.05,0.016892
1.053,0.0167348
1.056,0.0165901
1.059,0.0164581
1.062,0.0163388
1.065,0.0162323
1.068,0.0161386
1.071,0.0160579
1.074,0.0159902
1.077,0.0159354
1.08,0.0158936
1.083,0.0158647
1.086,0.0158488
1.089,0.0158458
1.092,0.0158555
1.095,0.0158781
1.098,0.0159132
1.101,0.015961
1.104,0.0160211
1.107,0.0160935
1.11,0.0161781
1.113,0.0162747
1.116,0.0163831
1.119,0.0165031
1.122,0.0166345
1.125,0.0167771
1.128,0.0169307
1.131,0.017095
1.134,0.0172698
1.137,0.0174549
1.14,0.0176498
1.143,0.0178545
1.146,0.0180685
1.149,0.0182916
1.152,0.0185234
1.155,0.0187637
1.158,0.019012
1.161,0.0192682
1.164,0.0195317
1.167,0.0198024
1.17,0.0200797
1.173,0.0203633
1.176,0.020653
1.179,0.0209482
1.182,0.0212486
1.185,0.0215538
1.188,0.0218635
1.191,0.0221772
1.194,0.0224945
1.197,0.0228151
1.2,0.0231385
1.203,0.0234644
1.206,0.0237923
1.209,0.0241218
1.212,0.0244525
1.215,0.0247841
1.218,0.0251161
1.221,0.0254481
1.224,0.0257797
1.227,0.0261106
1.23,0.0264403
1.233,0.0267684
1.236,0.0270946
1.239,0.0274185
1.242,0.0277396
1.245,0.0280577
1.248,0.0283724
1.251,0.0286832
1.254,0.0289899
1.257,0.0292921
1.26,0.0295894
1.263,0.0298816
1.266,0.0301683
1.269,0.0304492
1.272,0.0307239
1.275,0.0309922
1.278,0.0312538
1.281,0.0315084
1.284,0.0317558
1.287,0.0319956
1.29,0.0322277
1.293,0.0324517
1.296,0.0326675
1.299,0.0328748
1.302,0.0330735
1.305,0.0332633
1.308,0.0334441
1.311,0.0336156
1.314,0.0337778
1.317,0.0339304
1.32,0.0340734
1.323,0.0342066
1.326,0.0343299
1.329,0.0344432
1.332,0.0345464
1.335,0.0346395
1.338,0.0347224
1.341,0.034795
1.344,0.0348573
1.347,0.0349093
1.35,0.034951
1.353,0.0349823
1.356,0.0350033
1.359,0.035014
1.362,0.0350145
1.365,0.0350048
1.368,0.0349849
1.371,0.034955
1.374,0.0349151
1.377,0.0348653
1.38,0.0348058
1.383,0.0347366
1.386,0.0346578
1.389,0.0345697
1.392,0.0344724
1.395,0.034366
