t,rms
4.23,0.0264933
4.233,0.0264666
4.236,0.0264401
4.239,0.0264139
4.242,0.0263879
4.245,0.0263622
4.248,0.0263368
4.251,0.0263117
4.254,0.0262871
4.257,0.0262628
4.26,0.0262389
4.263,0.0262155
4.266,0.0261926
4.269,0.0261702
4.272,0.0261483
4.275,0.0261269
4.278,0.0261062
4.281,0.026086
4.284,0.0260664
4.287,0.0260475
4.29,0.0260293
4.293,0.0260117
4.296,0.0259948
4.299,0.0259786
4.302,0.0259632
4.305,0.0259484
4.308,0.0259345
4.311,0.0259213
4.314,0.0259089
4.317,0.0258973
4.32,0.0258865
4.323,0.0258764
4.326,0.0258673
4.329,0.0258589
4.332,0.0258514
4.335,0.0258447
4.338,0.0258388
4.341,0.0258338
4.344,0.0258296
4.347,0.0258263
4.35,0.0258238
4.353,0.0258222
4.356,0.0258214
4.359,0.0258214
4.362,0.0258223
4.365,0.025824
4.368,0.0258265
4.371,0.0258299
4.374,0.025834
4.377,0.025839
4.38,0.0258447
4.383,0.0258512
4.386,0.0258585
4.389,0.0258666
4.392,0.0258753
4.395,0.0258848
4.398,0.025895
4.401,0.0259059
4.404,0.0259175
4.407,0.0259298
4.41,0.0259427
4.413,0.0259562
4.416,0.0259703
4.419,0.025985
4.422,0.0260002
4.425,0.0260161
4.428,0.0260324
4.431,0.0260492
4.434,0.0260665
4.437,0.0260843
4.44,0.0261025
4.443,0.0261211
4.446,0.02614
4.449,0.0261594
4.452,0.026179
4.455,0.026199
4.458,0.0262193
4.461,0.0262398
4.464,0.0262605
4.467,0.0262814
4.47,0.0263026
4.473,0.0263238
4.476,0.0263452
4.479,0.0263667
4.482,0.0263883
4.485,0.0264099
4.488,0.0264315
4.491,0.0264531
4.494,0.0264747
4.497,0.0264963
4.5,0.0265177
4.503,0.0265391
4.506,0.0265603
4.509,0.0265813
4.512,0.0266022
4.515,0.0266229
4.518,0.0266433
4.521,0.0266635
4.524,0.0266834
4.527,0.026703
4.53,0.0267222
4.533,0.0267412
4.536,0.0267597
4.539,0.0267779
4.542,0.0267957
4.545,0.0268131
4.548,0.02683
4.551,0.0268464
4.554,0.0268624
4.557,0.0268779
4.56,0.0268928
4.563,0.0269073
4.566,0.0269212
4.569,0.0269345
4.572,0.0269473
4.575,0.0269595
4.578,0.0269711
4.581,0.0269821
4.584,0.0269925
4.587,0.0270023
4.59,0.0270114
4.593,0.0270199
4.596,0.0270277
4.599,0.0270349
4.602,0.0270414
4.605,0.0270473
4.608,0.0270525
4.611,0.0270571
4.614,0.0270609
4.617,0.0270641
4.62,0.0270666
4.623,0.0270685
4.626,0.0270697
4.629,0.0270702
4.632,0.02707
4.635,0.0270692
4.638,0.0270677
4.641,0.0270656
4.644,0.0270628
4.647,0.0270593
4.65,0.0270553
4.653,0.0270506
4.656,0.0270453
4.659,0.0270394
4.662,0.0270329
4.665,0.0270258
4.668,0.0270181
4.671,0.0270099
4.674,0.0270011
4.677,0.0269917
4.68,0.0269819
4.683,0.0269715
4.686,0.0269607
4.689,0.0269493
4.692,0.0269376
4.695,0.0269253
4.698,0.0269126
4.701,0.0268996
4.704,0.0268861
4.707,0.0268722
4.71,0.026858
4.713,0.0268435
4.716,0.0268286
4.719,0.0268134
4.722,0.026798
4.725,0.0267823
4.728,0.0267663
4.731,0.0267501
4.734,0.0267338
4.737,0.0267172
4.74,0.0267005
4.743,0.0266837
4.746,0.0266667
4.749,0.0266497
4.752,0.0266325
4.755,0.0266153
4.758,0.0265981
4.761,0.0265809
4.764,0.0265637
4.767,0.0265465
4.77,0.0265294
4.773,0.0265123
4.776,0.0264953
4.779,0.0264784
4.782,0.0264617
4.785,0.0264451
4.788,0.0264287
4.791,0.0264125
4.794,0.0263964
4.797,0.0263806
4.8,0.0263651
4.803,0.0263498
4.806,0.0263347
4.809,0.02632
4.812,0.0263056
4.815,0.0262915
4.818,0.0262777
4.821,0.0262643
4.824,0.0262513
4.827,0.0262386
4.83,0.0262264
4.833,0.0262145
4.836,0.0262031
4.839,0.0261921
4.842,0.0261816
4.845,0.0261715
4.848,0.0261619
4.851,0.0261527
4.854,0.0261441
4.857,0.0261359
4.86,0.0261282
4.863,0.026121
4.866,0.0261144
4.869,0.0261082
4.872,0.0261026
4.875,0.0260975
4.878,0.0260929
4.881,0.0260889
4.884,0.0260853
4.887,0.0260824
4.89,0.0260799
4.893,0.026078
4.896,0.0260767
4.899,0.0260758
4.902,0.0260755
4.905,0.0260758
4.908,0.0260765
4.911,0.0260778
4.914,0.0260796
4.917,0.0260819
4.92,0.0260847
4.923,0.0260881
4.926,0.0260919
4.929,0.0260962
4.932,0.026101
4.935,0.0261063
4.938,0.026112
4.941,0.0261182
4.944,0.0261249
4.947,0.026132
4.95,0.0261395
4.953,0.0261474
4.956,0.0261557
4.959,0.0261644
4.962,0.0261735
4.965,0.026183
4.968,0.0261928
4.971,0.026203
4.974,0.0262134
4.977,0.0262242
4.98,0.0262353
4.983,0.0262467
4.986,0.0262583
4.989,0.0262702
4.992,0.0262823
4.995,0.0262947
4.998,0.0263072
5.001,0.02632
5.004,0.0263329
5.007,0.026346
5.01,0.0263592
5.013,0.0263725
5.016,0.0263859
5.019,0.0263995
5.022,0.026413
5.025,0.0264267
5.028,0.0264404
5.031,0.0264541
5.034,0.0264678
5.037,0.0264815
5.04,0.0264952
5.043,0.0265089
5.046,0.0265225
5.049,0.026536
5.052,0.0265494
5.055,0.0265627
5.058,0.0265759
5.061,0.0265889
5.064,0.0266018
5.067,0.0266146
5.07,0.0266271
5.073,0.0266395
5.076,0.0266516
5.079,0.0266635
5.082,0.0266752
5.085,0.0266867
5.088,0.0266978
5.091,0.0267087
5.094,0.0267194
5.097,0.0267297
5.1,0.0267397
5.103,0.0267494
5.106,0.0267588
5.109,0.0267678
5.112,0.0267765
5.115,0.0267848
5.118,0.0267928
5.121,0.0268004
5.124,0.0268076
5.127,0.0268144
5.13,0.0268208
5.133,0.0268269
5.136,0.0268325
5.139,0.0268378
5.142,0.0268426
5.145,0.026847
5.148,0.026851
5.151,0.0268545
5.154,0.0268577
5.157,0.0268604
5.16,0.0268627
5.163,0.0268645
5.166,0.026866
5.169,0.026867
5.172,0.0268676
5.175,0.0268677
5.178,0.0268675
5.181,0.0268668
5.184,0.0268657
5.187,0.0268642
5.19,0.0268622
5.193,0.0268599
5.196,0.0268572
5.199,0.0268541
5.202,0.0268505
5.205,0.0268466
5.208,0.0268424
5.211,0.0268377
5.214,0.0268327
5.217,0.0268274
5.22,0.0268217
5.223,0.0268156
5.226,0.0268092
5.229,0.0268026
5.232,0.0267955
5.235,0.0267882
5.238,0.0267807
5.241,0.0267728
5.244,0.0267646
5.247,0.0267563
5.25,0.0267476
5.253,0.0267387
5.256,0.0267296
5.259,0.0267203
5.262,0.0267108
5.265,0.0267011
5.268,0.0266913
5.271,0.0266812
5.274,0.0266711
5.277,0.0266608
5.28,0.0266503
5.283,0.0266398
5.286,0.0266292
5.289,0.0266185
5.292,0.0266077
5.295,0.0265968
5.298,0.026586
5.301,0.026575
5.304,0.0265641
5.307,0.0265532
5.31,0.0265423
5.313,0.0265314
5.316,0.0265205
5.319,0.0265097
5.322,0.026499
5.325,0.0264883
5.328,0.0264777
5.331,0.0264672
5.334,0.0264569
5.337,0.0264466
5.34,0.0264365
5.343,0.0264265
5.346,0.0264167
5.349,0.0264071
5.352,0.0263976
5.355,0.0263883
5.358,0.0263793
5.361,0.0263704
5.364,0.0263618
5.367,0.0263534
5.37,0.0263452
5.373,0.0263373
5.376,0.0263296
5.379,0.0263222
5.382,0.026315
5.385,0.0263082
5.388,0.0263016
5.391,0.0262953
5.394,0.0262893
5.397,0.0262836
5.4,0.0262782
5.403,0.0262732
5.406,0.0262684
5.409,0.026264
5.412,0.0262599
